"Year","Inflation","GDP-UK £ billion nominal","Population-UK million","Total Spending-total £ billion nominal",""
"1978","12.32","measuringworth.com/ukgdp","56.178","71.95","a"
"1979","14.97","measuringworth.com/ukgdp","56.240","85.17","a"
"1980","19.7","measuringworth.com/ukgdp","56.330","103.86","a"
"1981","12.31","measuringworth.com/ukgdp","56.358","116.06","a"
"1982","8.16","measuringworth.com/ukgdp","56.291","128.04","a"
"1983","5.78","measuringworth.com/ukgdp","56.316","132.70","a"
"1984","5.33","measuringworth.com/ukgdp","56.409","140.50","a"
"1985","5.62","measuringworth.com/ukgdp","56.554","150.90","a"
"1986","4.62","measuringworth.com/ukgdp","56.684","158.60","a"
"1987","5.69","measuringworth.com/ukgdp","56.804","164.60","a"
"1988","6.25","measuringworth.com/ukgdp","56.916","173.60","a"
"1989","8.03","measuringworth.com/ukgdp","57.077","179.90","a"
"1990","8.12","measuringworth.com/ukgdp","57.238","200.90","a"
"1991","6.56","measuringworth.com/ukgdp","57.439","218.20","a"
"1992","3.16","measuringworth.com/ukgdp","57.585","236.20","a"
"1993","2.79","measuringworth.com/ukgdp","57.714","259.73","a"
"1994","1.4","measuringworth.com/ukgdp","57.862","271.54","a"
"1995","2.5","measuringworth.com/ukgdp","58.025","289.02","a"
"1996","4.22","measuringworth.com/ukgdp","58.164","304.33","a"
"1997","-0.07","measuringworth.com/ukgdp","58.314","308.37","a"
"1998","1.07","measuringworth.com/ukgdp","58.475","318.43","a"
"1999","0.97","measuringworth.com/ukgdp","58.684","332.65","a"
"2000","1.89","measuringworth.com/ukgdp","58.886","340.80","a"
"2001","1.15","measuringworth.com/ukgdp","59.113","366.09","a"
"2002","2.15","measuringworth.com/ukgdp","59.366","389.07","a"
"2003","2.45","measuringworth.com/ukgdp","59.637","420.48","a"
"2004","2.59","measuringworth.com/ukgdp","59.950","455.07","a"
"2005","2.78","measuringworth.com/ukgdp","60.413","491.80","a"
"2006","2.88","measuringworth.com/ukgdp","60.827","523.51","a"
"2007","2.76","measuringworth.com/ukgdp","61.319","549.40","a"
"2008","3.07","measuringworth.com/ukgdp","61.824","582.23","a"
"2009","-0.87","measuringworth.com/ukgdp","62.261","633.81","a"
"2010","1.54","1566.1","62.760","673.10","a"
"2011","1.71","1632.9","63.285","714.34","a"
"2012","1.53","1676.8","63.705","720.87","a"
"2013","2.05","1736.4","64.106","740.73","a"
"2014","2.34","1816.6","64.597","743.02","a"
"2015","1.18","1891.5","65.110","759.06","a"
"2016","0.64","1951.7","65.648","785.63","a"
"2017","2.29","2040.7","66.040","808.05","a"
"2018","1.75","2114.6","66.436","831.87","a"
"2019","1.99","2195.7","66.797","852.17","a"
"2020","2.34","2260.3","67.844","879.46","a"
"2021","5.12","2146.7","68.138","1102.41","a"
"2022","-0.98","2363","68.414","1058.16","e"
