Year,Health Care (NHS etc),Pensions,Welfare (Benefits etc),Education,Military,Interest on Debts,Other Spending,Emergency Services,Transport (Railway/Roads etc),General Government
1970,2080000000,1980000000,2770000000,2790000000,2800000000,2120000000,2500000000,600000000,1950000000,700000000
1971,2360000000,2140000000,2990000000,3160000000,3180000000,2240000000,2920000000,700000000,2210000000,840000000
1972,2660000000,2560000000,3570000000,3570000000,3480000000,2290000000,2500000000,800000000,1950000000,1000000000
1973,3020000000,3010000000,4059999999,4160000000,4110000000,2740000000,2570000000,950000000,2240000000,1040000000
1974,3940000000,3800000000,5070000000,4880000000,4750000000,3610000000,3150000000,1230000000,3220000000,1390000000
1975,5270000000,4860000000,6580000000,6940000000,5840000000,4210000000,5640000000,1620000000,3830000000,1880000000
1976,6220000000,5940000000,8220000000,7760000000,7280000000,5390000000,4470000000,1980000000,3510000000,2040000000
1977,6910000000,6910000000,9630000000,8279999999,8180000000,6370000000,2420000000,2130000000,3360000000,2029999999
1978,7890000000,7890000000,11060000000,9020000000,9540000000,7210000000,4099999999,2460000000,3790000000,2220000000
1979,9100000000,9170000000,12500000000,10150000000,11320000000,8960000000,5340000000,2910000000,4530000000,2430000000
1980,11790000000,10920000000,15150000000,12420000000,13490000000,11360000000,6490000000,3750000000,4870000000,2880000000
1981,13420000000,12820000000,17910000000,13870000000,14570000000,13220000000,5930000000,4510000000,5720000000,2910000000
1982,14380000000,14190000000,19530000000,14820000000,16730000000,14270000000,6380000000,5080000000,6310000000,3350000000
1983,14500000000,15430000000,22840000000,15000000000,16200000000,13900000000,10400000000,5200000000,5300000000,3900000000
1984,15400000000,16040000000,24530000000,15800000000,17400000000,14400000000,9700000000,5700000000,5400000000,3400000000
1985,16500000000,17100000000,26310000000,16399999999,19100000000,16000000000,10600000000,6400000000,5700000000,3900000000
1986,17500000000,18880000000,28870000000,17000000000,20100000000,17800000000,11300000000,6600000000,5800000000,3800000000
1987,18700000000,20050000000,30480000000,18700000000,20400000000,17600000000,10600000000,7200000000,5700000000,4400000000
1988,20500000000,20750000000,31590000000,20400000000,20900000000,18000000000,9400000000,8100000000,5700000000,5300000000
1989,22600000000,22170000000,33640000000,22000000000,21500000000,18500000000,10600000000,9000000000,5900000000,5000000000
1990,24500000000,23980000000,36660000000,24600000000,23300000000,18800000000,10200000000,10200000000,6800000000,6900000000
1991,27500000000,26950000000,42990000000,26500000000,24400000000,18600000000,12200000000,11500000000,8300000000,7000000000
1992,31200000000,28090000000,47420000000,29300000000,26000000000,16800000000,12900000000,13000000000,9300000000,4900000000
1993,35020000000,34540000000,54000000000,32729999999,26330000000,21290000000,5980000000,14230000000,7560000000,5250000000
1994,37010000000,41310000000,59240000000,34420000000,26030000000,20770000000,8070000000,14830000000,5350000000,4980000000
1995,40490000000,41380000000,60150000000,36050000000,25600000000,26990000000,4980000000,15390000000,7270000000,5420000000
1996,39660000000,45400000000,63650000000,36490000000,24680000000,30110000000,7040000000,15760000000,4750000000,5050000000
1997,41340000000,49440000000,64420000000,37290000000,25100000000,31560000000,8500000000,14610000000,4700000000,4910000000
1998,43150000000,52090000000,62080000000,39100000000,24380000000,29660000000,7420000000,16920000000,8310000000,5750000000
1999,47020000000,61830000000,54890000000,40560000000,26750000000,29300000000,7080000000,17930000000,8449999999,9050000000
