Year,Health Care (NHS etc),Pensions,Welfare (Benefits etc),Education,Military,Interest on Debts,Other Spending,Emergency Services,Transport (Railway/Roads etc),General Government
2000,49570000000,65739999999,59080000000,42690000000,27780000000,25330000000,8039999999,18330000000,8750000000,9850000000
2001,54340000000,73370000000,57730000000,46450000000,29870000000,26380000000,8439999999,20240000000,9210000000,8650000000
2002,59930000000,78290000000,59210000000,51120000000,28340000000,22400000000,16329999999,22890000000,11310000000,11480000000
2003,66200000000,79910000000,65530000000,54740000000,30020000000,21180000000,16090000000,24240000000,14810000000,11520000000
2004,74920000000,81790000000,73950000000,61030000000,32400000000,22520000000,16840000000,26170000000,16270000000,12060000000
2005,82930000000,86350000000,77980000000,65120000000,33409999999,24320000000,17710000000,28490000000,16010000000,14200000000
2006,89580000000,89870000000,81570000000,69700000000,35230000000,26250000000,18510000000,29310000000,17020000000,16260000000
2007,94690000000,93940000000,83470000000,73030000000,36610000000,28100000000,17600000000,30260000000,19860000000,16820000000
2008,102340000000,98820000000,90350000000,78650000000,38320000000,30650000000,16820000000,31450000000,20500000000,16870000000
2009,108750000000,108540000000,99530000000,83000000000,40990000000,31300000000,28130000000,33860000000,20970000000,15990000000
2010,116920000000,116390000000,110710000000,88480000000,42550000000,30660000000,25870000000,34110000000,22960000000,15920000000
2011,119830000000,121900000000,112220000000,91500000000,44940000000,47210000000,18450000000,33189999999,21480000000,14890000000
2012,121250000000,129650000000,118040000000,86480000000,44140000000,50270000000,17450000000,31870000000,19410000000,13900000000
2013,124300000000,139210000000,116990000000,83990000000,41940000000,49500000000,16550000000,31330000000,20270000000,13240000000
2014,129389999999,142820000000,113870000000,84680000000,44010000000,49340000000,20120000000,29650000000,20790000000,13300000000
2015,134050000000,149840000000,114360000000,85060000000,45260000000,46080000000,19060000000,30520000000,21970000000,13410000000
2016,138500000000,154720000000,113550000000,84910000000,44810000000,45900000000,19130000000,29890000000,27860000000,13590000000
2017,142590000000,156080000000,112590000000,84910000000,45890000000,49600000000,20410000000,30190000000,28760000000,14420000000
2018,147340000000,159480000000,112720000000,86060000000,47290000000,55960000000,22860000000,31440000000,30290000000,14310000000
2019,152920000000,164680000000,113870000000,88050000000,49700000000,49750000000,28070000000,32650000000,32610000000,14970000000
2020,164140000000,160570000000,119800000000,90620000000,51390000000,48760000000,32119999999,34530000000,34550000000,17030000000
2021,218570000000,163110000000,140630000000,95530000000,53140000000,40180000000,146690000000,38890000000,49780000000,21260000000
2022,216790000000,166360000000,137890000000,100250000000,54070000000,70670000000,51760000000,42290000000,45200000000,30280000000
