Year,Pensions,Health Care,Education,Defence,Welfare,Protection,Transport,General Government,Other Spending,Interest
1900,0,570000000,2550000000,7100000000,1070000000,1020000000,2240000000,480000000,2420000000,4170000000
1901,0,630000000,2720000000,12420000000,1150000000,1050000000,2700000000,480000000,2790000000,4050000000
1902,0,730000000,2890000000,13420000000,1240000000,1110000000,3260000000,520000000,3010000000,4470000000
1903,0,870000000,3250000000,11640000000,1330000000,1140000000,3710000000,540000000,3210000000,5240000000
1904,0,840000000,3670000000,7680000000,1440000000,1180000000,3750000000,580000000,3190000000,5300000000
1905,0,840000000,4450000000,6990000000,1460000000,1180000000,3530000000,580000000,3340000000,5520000000
1906,80000000,810000000,4640000000,6510000000,1450000000,1180000000,3660000000,570000000,3130000000,5670000000
1907,80000000,800000000,4790000000,6090000000,1390000000,1170000000,3590000000,590000000,3110000000,5450000000
1908,80000000,770000000,4960000000,6050000000,1410000000,1210000000,3700000000,590000000,3450000000,5500000000
1909,80000000,780000000,5160000000,6130000000,1620000000,1250000000,3660000000,630000000,3410000000,5650000000
1910,90000000,900000000,5230000000,6460000000,2120000000,1250000000,6120000000,640000000,3440000000,5670000000
1911,80000000,920000000,5400000000,6900000000,2220000000,1280000000,4180000000,700000000,3600000000,5630000000
1912,80000000,960000000,5390000000,7000000000,2260000000,1300000000,4130000000,690000000,3610000000,5650000000
1913,80000000,1080000000,5570000000,7210000000,2730000000,1340000000,4340000000,740000000,4010000000,5860000000
1914,80000000,1230000000,5740000000,7640000000,2960000000,1380000000,4690000000,760000000,4440000000,5800000000
1915,70000000,1220000000,5180000000,37600000000,2710000000,1300000000,4300000000,710000000,4110000000,5390000000
1916,60000000,1120000000,4200000000,104570000000,2220000000,1120000000,3400000000,600000000,3740000000,7630000000
1917,50000000,910000000,3460000000,118380000000,1870000000,880000000,2510000000,460000000,3170000000,10200000000
1918,40000000,820000000,3510000000,123690000000,1600000000,810000000,2280000000,400000000,2850000000,11970000000
1919,40000000,790000000,3280000000,97080000000,1470000000,870000000,2230000000,390000000,2690000000,13800000000
1920,3820000000,950000000,4170000000,26330000000,1840000000,1340000000,2850000000,740000000,3480000000,14230000000
1921,4600000000,1690000000,6120000000,12400000000,3630000000,1870000000,4640000000,990000000,4850000000,16250000000
1922,4630000000,2000000000,7590000000,10730000000,4740000000,2350000000,5750000000,1230000000,6360000000,18460000000
1923,4310000000,1880000000,7120000000,6430000000,4680000000,1980000000,6080000000,910000000,5440000000,20350000000
