Year,Health Care (NHS etc),Pensions,Welfare (Benefits etc),Education,Military,Interest on Debts,Other Spending,Emergency Services,Transport (Railway/Roads etc),General Government
1970,2077000000,1978000000,2765000000,2786000000,2800000000,2118000000,2502000000,598000000,1950000000,698000000
1971,2361000000,2139000000,2987000000,3160000000,3184000000,2244000000,2919000000,701000000,2211000000,838000000
1972,2663000000,2562000000,3570000000,3569000000,3477000000,2286000000,2496000000,801000000,1948000000,1000000000
1973,3021000000,3012000000,4060000000,4163000000,4106000000,2738000000,2569000000,954000000,2242000000,1039000000
1974,3944000000,3796000000,5072000000,4883000000,4747000000,3607000000,3146000000,1225000000,3219000000,1393000000
1975,5269000000,4862000000,6584000000,6943000000,5837000000,4211000000,5635000000,1620000000,3832000000,1875000000
1976,6222000000,5944000000,8222000000,7755000000,7275000000,5394000000,4471000000,1984000000,3512000000,2036000000
1977,6912000000,6906000000,9630000000,8284000000,8184000000,6367000000,2418000000,2130000000,3359000000,2030000000
1978,7890000000,7888000000,11057000000,9021000000,9536000000,7207000000,4101000000,2458000000,3789000000,2216000000
1979,9102000000,9166000000,12497000000,10149000000,11319000000,8961000000,5337000000,2911000000,4526000000,2430000000
1980,11786000000,10915000000,15152000000,12424000000,13491000000,11363000000,6485000000,3753000000,4866000000,2878000000
1981,13419000000,12818000000,17911000000,13874000000,14574000000,13218000000,5928000000,4509000000,5722000000,2910000000
1982,14382000000,14194000000,19529000000,14823000000,16730000000,14265000000,6380000000,5077000000,6314000000,3349000000
1983,14500000000,15433000000,22839000000,15000000000,16200000000,13900000000,10400000000,5200000000,5300000000,3900000000
1984,15400000000,16042000000,24526000000,15800000000,17400000000,14400000000,9700000000,5700000000,5400000000,3400000000
1985,16500000000,17104000000,26314000000,16400000000,19100000000,16000000000,10600000000,6400000000,5700000000,3900000000
1986,17500000000,18876000000,28871000000,17000000000,20100000000,17800000000,11300000000,6600000000,5800000000,3800000000
1987,18700000000,20048000000,30481000000,18700000000,20400000000,17600000000,10600000000,7200000000,5700000000,4400000000
1988,20500000000,20750000000,31587000000,20400000000,20900000000,18000000000,9400000000,8100000000,5700000000,5300000000
1989,22600000000,22173000000,33642000000,22000000000,21500000000,18500000000,10600000000,9000000000,5900000000,5000000000
1990,24500000000,23977000000,36658000000,24600000000,23300000000,18800000000,10200000000,10200000000,6800000000,6900000000
1991,27500000000,26951000000,42990000000,26500000000,24400000000,18600000000,12200000000,11500000000,8300000000,7000000000
1992,31200000000,28089000000,47423000000,29300000000,26000000000,16800000000,12900000000,13000000000,9300000000,4900000000
1993,35018500000,34542000000,53997200000,32729000000,26326000000,21292000000,5977900000,14234800000,7557100000,5250500000
1994,37006800000,41309000000,59239100000,34418200000,26030000000,20772000000,8071000000,14827900000,5348000000,4980600000
1995,40485500000,41384000000,60145000000,36050200000,25597000000,26992000000,4981900000,15391400000,7265000000,5418900000
1996,39661400000,45402000000,63651600000,36485600000,24675000000,30108000000,7036700000,15758100000,4745000000,5047000000
1997,41336600000,49443000000,64415100000,37288900000,25100000000,31555000000,8502300000,14606400000,4703000000,4907000000
1998,43146310000,52086000000,62084700000,39103000000,24378000000,29664000000,7415000000,16915000000,8310000000,5749000000
1999,47024000000,61826000000,54888000000,40555000000,26748000000,29301000000,7084000000,17933000000,8454000000,9045000000
2000,49572000000,65742000000,59077000000,42694000000,27776000000,25325000000,8039000000,18326000000,8751000000,9845000000
2001,54342000000,73367000000,57730000000,46447000000,29873000000,26380000000,8443000000,20237000000,9214000000,8650000000
2002,59931000000,78293000000,59208000000,51117000000,28342000000,22403000000,16332000000,22891000000,11311000000,11480000000
2003,66200000000,79906000000,65534000000,54743000000,30018000000,21181000000,16090000000,24238000000,14808000000,11519000000
2004,74915000000,81788000000,73953000000,61028000000,32404000000,22516000000,16840000000,26165000000,16266000000,12063000000
2005,82931000000,86352000000,77981000000,65120000000,33410000000,24321000000,17712000000,28491000000,16012000000,14197000000
2006,89583000000,89871000000,81568000000,69703000000,35226000000,26248000000,18513000000,29311000000,17021000000,16261000000
2007,94694000000,93941000000,83470000000,73029000000,36611000000,28099000000,17596000000,30256000000,19855000000,16824000000
2008,102338000000,98824000000,90351000000,78653000000,38323000000,30654000000,16821000000,31452000000,20495000000,16870000000
2009,108749000000,108537000000,99526000000,82999000000,40987000000,31303000000,28128000000,33860000000,20968000000,15991000000
2010,116916000000,116392000000,110706000000,88484000000,42552000000,30658000000,25866000000,34105000000,22964000000,15916000000
2011,119826000000,121902000000,112221000000,91496000000,44943000000,47209000000,18448000000,33186000000,21484000000,14889000000
2012,121253000000,129648000000,118039000000,86478000000,44144000000,50265000000,17453000000,31867000000,19407000000,13900000000
2013,124303000000,139211000000,116989000000,83991000000,41942000000,49497000000,16545000000,31326000000,20270000000,13236000000
2014,129389000000,142816000000,113865000000,84681000000,44008000000,49344000000,20116000000,29653000000,20790000000,13303000000
2015,134053000000,149843000000,114361000000,85055000000,45255000000,46077000000,19056000000,30519000000,21966000000,13411000000
2016,138500000000,154722000000,113552000000,84913000000,44806000000,45903000000,19132000000,29887000000,27857000000,13594000000
2017,142588000000,156075000000,112594000000,84906000000,45890000000,49506000000,20419000000,30184000000,28763000000,14452000000
2018,147337000000,159483000000,112719000000,86057000000,47264000000,55868000000,22869000000,31439000000,30391000000,14393000000
2019,152915000000,164679000000,113871000000,88051000000,49685000000,49627000000,28083000000,32647000000,32637000000,15043000000
2020,164130000000,161011000000,119078000000,92394000000,51305000000,48449000000,30733000000,34455000000,34635000000,17138000000
